No NodoInicio NodoFinal
1 0 1
2 1 2
3 2 3
4 2 57
5 2 62
6 3 4
7 3 26
8 4 5
9 4 7
10 4 8
11 4 22
12 4 108
13 5 6
14 6 7
15 6 59
16 7 6
17 7 8
18 7 50
19 7 139
20 7 143
21 8 9
22 8 56
23 8 71
24 8 114
25 9 10
26 10 11
27 10 108
28 11 12
29 11 39
30 11 71
31 12 13
32 12 86
33 13 14
34 14 15
35 15 16
36 15 24
37 15 88
38 15 91
39 16 11
40 16 17
41 16 67
42 16 117
43 16 137
44 17 18
45 18 19
46 18 20
47 18 75
48 18 141
49 19 17
50 19 20
51 19 49
52 19 92
53 19 147
54 20 21
55 21 22
56 21 74
57 22 23
58 23 24
59 23 25
60 24 25
61 24 71
62 24 93
63 24 116
64 25 26
65 25 94
66 26 27
67 26 53
68 26 68
69 27 28
70 28 29
71 28 41
72 28 43
73 28 62
74 28 136
75 29 30
76 29 69
77 29 97
78 29 142
79 30 31
80 30 83
81 31 32
82 32 8
83 32 33
84 33 34
85 33 68
86 33 102
87 34 35
88 35 36
89 35 145
90 36 37
91 36 54
92 36 127
93 37 36
94 37 38
95 37 67
96 37 117
97 38 39
98 38 63
99 39 40
100 39 67
101 39 109
102 39 137
103 39 149
104 40 35
105 40 41
106 40 56
107 40 92
108 40 102
109 41 12
110 41 23
111 41 28
112 41 42
113 41 126
114 42 40
115 42 43
116 43 16
117 43 44
118 43 97
119 43 98
120 44 45
121 44 64
122 44 119
123 44 135
124 44 141
125 45 46
126 46 47
127 47 28
128 47 48
129 47 68
130 47 75
131 47 87
132 48 0
133 48 40
134 48 49
135 48 116
136 49 45
137 49 50
138 49 128
139 50 27
140 50 39
141 50 51
142 50 76
143 50 129
144 51 41
145 51 52
146 51 138
147 52 0
148 52 4
149 52 53
150 52 82
151 52 125
152 53 54
153 54 55
154 54 61
155 54 78
156 55 56
157 56 57
158 56 145
159 57 58
160 58 59
161 59 17
162 59 32
163 59 60
164 59 136
165 60 61
166 60 121
167 61 42
168 61 62
169 61 67
170 61 108
171 61 135
172 62 63
173 62 138
174 63 64
175 63 79
176 64 65
177 64 95
178 64 112
179 64 132
180 65 30
181 65 57
182 65 63
183 65 66
184 66 67
185 67 5
186 67 68
187 67 141
188 68 56
189 68 69
190 69 70
191 70 71
192 71 72
193 72 17
194 72 73
195 73 74
196 74 18
197 74 75
198 74 131
199 75 71
200 75 76
201 76 33
202 76 54
203 76 77
204 76 138
205 77 62
206 77 78
207 77 104
208 77 121
209 77 147
210 78 24
211 78 79
212 79 80
213 80 81
214 80 90
215 80 105
216 80 108
217 81 13
218 81 15
219 81 25
220 81 82
221 82 27
222 82 63
223 82 83
224 82 86
225 83 48
226 83 84
227 84 35
228 84 46
229 84 85
230 84 108
231 84 114
232 85 63
233 85 86
234 85 118
235 86 87
236 87 12
237 87 25
238 87 88
239 87 140
240 88 3
241 88 23
242 88 42
243 88 60
244 88 89
245 89 54
246 89 90
247 89 123
248 89 124
249 90 15
250 90 42
251 90 91
252 90 97
253 91 92
254 92 67
255 92 73
256 92 93
257 92 116
258 93 39
259 93 94
260 93 124
261 93 142
262 94 75
263 94 95
264 95 14
265 95 96
266 96 14
267 96 15
268 96 80
269 96 97
270 96 138
271 97 98
272 98 40
273 98 99
274 98 122
275 98 128
276 98 135
277 99 100
278 100 17
279 100 20
280 100 47
281 100 60
282 100 101
283 101 30
284 101 63
285 101 102
286 101 145
287 102 10
288 102 20
289 102 103
290 102 107
291 102 149
292 103 52
293 103 66
294 103 80
295 103 104
296 103 133
297 104 61
298 104 67
299 104 105
300 105 33
301 105 76
302 105 106
303 105 117
304 106 2
305 106 18
306 106 107
307 107 18
308 107 25
309 107 108
310 107 144
311 108 33
312 108 54
313 108 67
314 108 109
315 108 129
316 109 17
317 109 62
318 109 110
319 110 40
320 110 72
321 110 111
322 111 77
323 111 112
324 111 135
325 111 139
326 112 113
327 113 26
328 113 34
329 113 67
330 113 76
331 113 114
332 114 115
333 115 116
334 116 39
335 116 53
336 116 69
337 116 72
338 116 117
339 117 52
340 117 67
341 117 118
342 118 13
343 118 23
344 118 64
345 118 119
346 118 125
347 119 0
348 119 11
349 119 70
350 119 120
351 120 33
352 120 67
353 120 121
354 121 113
355 121 122
356 122 2
357 122 28
358 122 109
359 122 123
360 122 143
361 123 124
362 124 125
363 124 139
364 125 126
365 126 127
366 126 141
367 126 149
368 127 110
369 127 128
370 128 10
371 128 129
372 129 10
373 129 93
374 129 130
375 130 53
376 130 63
377 130 131
378 131 132
379 132 104
380 132 133
381 132 143
382 133 39
383 133 41
384 133 45
385 133 60
386 133 134
387 134 6
388 134 45
389 134 85
390 134 135
391 135 40
392 135 63
393 135 68
394 135 136
395 136 137
396 137 9
397 137 56
398 137 120
399 137 138
400 138 117
401 138 139
402 139 58
403 139 78
404 139 140
405 140 6
406 140 141
407 141 102
408 141 142
409 142 17
410 142 71
411 142 143
412 143 89
413 143 130
414 143 144
415 144 7
416 144 84
417 144 137
418 144 145
419 145 146
420 146 45
421 146 147
422 146 148
423 147 9
424 147 27
425 147 148
426 148 80
427 148 88
428 148 111
429 148 130
430 148 149
431 149 0
